StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2021-10-01,Northern Territory,Text message,55 - 64,Male,Attempts to gain your personal information,Phishing,$1.00,5
2021-10-01,South Australia,Phone call,18 - 24,Female,Attempts to gain your personal information,Phishing,$500.00,2
2021-11-01,Western Australia,Phone call,18 - 24,Female,Attempts to gain your personal information,Phishing,$1000.00,3
2021-11-01,Outside of Australia,Email,35 - 44,Male,Attempts to gain your personal information,Phishing,$1.00,4
2021-11-01,South Australia,Email,25 - 34,Female,Attempts to gain your personal information,Phishing,$500.00,2
2021-11-01,Victoria,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$308.00,2
2021-10-01,New South Wales,Mobile apps,35 - 44,Female,Attempts to gain your personal information,Phishing,$9.00,2
2021-11-01,New South Wales,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$4500.00,3
2021-12-01,New South Wales,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$50.00,2
2021-11-01,New South Wales,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$687.00,2
2021-12-01,New South Wales,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$80.00,2
2021-10-01,New South Wales,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Phishing,$1612.00,2
2021-11-01,New South Wales,Social media/Online forums,45 - 54,Female,Attempts to gain your personal information,Phishing,$8000.00,2
2021-11-01,New South Wales,Social media/Online forums,65 and over,Female,Attempts to gain your personal information,Phishing,$1844.00,3
2021-10-01,Victoria,Social media/Online forums,18 - 24,Male,Attempts to gain your personal information,Phishing,$1500.00,3
2021-10-01,Victoria,Social media/Online forums,35 - 44,Male,Attempts to gain your personal information,Phishing,$17000.00,2
2021-11-01,Victoria,Social media/Online forums,45 - 54,Male,Attempts to gain your personal information,Phishing,$1300.00,2
2021-10-01,Victoria,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Phishing,$1700.00,2
2021-11-01,Victoria,Internet,Unspecified,Female,Attempts to gain your personal information,Phishing,$670.00,2
2021-11-01,Victoria,Internet,18 - 24,Male,Attempts to gain your personal information,Phishing,$229.00,2
2021-11-01,Victoria,Internet,45 - 54,Male,Attempts to gain your personal information,Phishing,$65.00,3
2021-11-01,Victoria,Internet,Unspecified,Male,Attempts to gain your personal information,Phishing,$267.00,2
2021-12-01,Victoria,Mobile apps,35 - 44,Female,Attempts to gain your personal information,Phishing,$500.00,4
2021-12-01,Victoria,Mobile apps,Unspecified,Female,Attempts to gain your personal information,Phishing,$17200.00,2
