StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2023-01-01,New South Wales,Text message,Under 18,Female,Attempts to gain your personal information,Phishing,$350.00,4
2023-01-01,Victoria,Text message,35 - 44,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Phishing,$38850.00,6
2023-03-01,Victoria,Text message,Under 18,Male,Attempts to gain your personal information,Phishing,$650.00,5
2023-02-01,Queensland,Text message,Under 18,Male,Attempts to gain your personal information,Phishing,$250.00,8
2023-01-01,Northern Territory,Text message,55 - 64,Female,Attempts to gain your personal information,Phishing,$12700.00,4
2023-01-01,Northern Territory,Text message,25 - 34,Female,Attempts to gain your personal information,Phishing,$19800.00,5
2023-02-01,Northern Territory,Text message,35 - 44,Male,Attempts to gain your personal information,Phishing,$1000.00,5
2023-03-01,Tasmania,Phone call,35 - 44,Male,Attempts to gain your personal information,Phishing,$4500.00,3
2023-03-01,Australian Capital Territory,Phone call,18 - 24,Female,Attempts to gain your personal information,Phishing,$7000.00,3
2023-03-01,South Australia,Phone call,Unspecified,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Phishing,$500.00,4
2023-05-01,Western Australia,Phone call,18 - 24,Female,Attempts to gain your personal information,Phishing,$10000.00,4
2023-02-01,Outside of Australia,Email,35 - 44,Male,Attempts to gain your personal information,Phishing,$119.00,2
2023-05-01,Tasmania,Email,35 - 44,Female,Attempts to gain your personal information,Phishing,$980.00,3
2023-01-01,South Australia,Email,25 - 34,Male,Attempts to gain your personal information,Phishing,$7000.00,2
2023-03-01,Western Australia,Email,25 - 34,Male,Attempts to gain your personal information,Phishing,$3900.00,4
2023-01-01,New South Wales,Email,18 - 24,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Phishing,$2.00,2
2023-01-01,New South Wales,Mobile apps,55 - 64,Female,Attempts to gain your personal information,Phishing,$4500.00,5
2023-05-01,New South Wales,Mobile apps,55 - 64,Female,Attempts to gain your personal information,Phishing,$4130.00,2
2023-01-01,New South Wales,Mobile apps,45 - 54,Female,Attempts to gain your personal information,Phishing,$3050.00,2
2023-03-01,New South Wales,Mobile apps,55 - 64,Male,Attempts to gain your personal information,Phishing,$1000.00,2
2023-03-01,New South Wales,Mobile apps,Unspecified,Male,Attempts to gain your personal information,Phishing,$20250.00,4
2023-04-01,New South Wales,Mobile apps,Unspecified,Male,Attempts to gain your personal information,Phishing,$150.00,2
2023-04-01,New South Wales,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Phishing,$10000.00,3
2023-03-01,New South Wales,Mobile apps,25 - 34,Male,Attempts to gain your personal information,Phishing,$7525.00,2
2023-01-01,New South Wales,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$5389.00,10
2023-03-01,New South Wales,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$6500.00,11
2023-05-01,New South Wales,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$1000.00,3
2023-01-01,New South Wales,Internet,35 - 44,Female,Attempts to gain your personal information,Phishing,$1.00,2
2023-02-01,New South Wales,Internet,25 - 34,Female,Attempts to gain your personal information,Phishing,$124.00,2
2023-02-01,New South Wales,Internet,35 - 44,Female,Attempts to gain your personal information,Phishing,$50.00,3
2023-02-01,New South Wales,Internet,45 - 54,Female,Attempts to gain your personal information,Phishing,$297.00,3
2023-04-01,New South Wales,Internet,25 - 34,Female,Attempts to gain your personal information,Phishing,$240.00,3
2023-04-01,New South Wales,Internet,35 - 44,Female,Attempts to gain your personal information,Phishing,$129.00,2
2023-05-01,New South Wales,Internet,35 - 44,Female,Attempts to gain your personal information,Phishing,$4250.00,3
2023-05-01,New South Wales,Internet,45 - 54,Female,Attempts to gain your personal information,Phishing,$40994.00,4
2023-01-01,New South Wales,Internet,Unspecified,Female,Attempts to gain your personal information,Phishing,$500.00,2
2023-02-01,New South Wales,Internet,Unspecified,Male,Attempts to gain your personal information,Phishing,$10000.00,3
2023-03-01,New South Wales,Internet,Unspecified,Male,Attempts to gain your personal information,Phishing,$60.00,2
2023-05-01,New South Wales,Internet,18 - 24,Male,Attempts to gain your personal information,Phishing,$331.00,3
2023-05-01,New South Wales,Internet,55 - 64,Male,Attempts to gain your personal information,Phishing,$151.00,2
2023-05-01,New South Wales,Internet,45 - 54,Male,Attempts to gain your personal information,Phishing,$162.00,2
2023-02-01,New South Wales,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$10735.00,2
2023-03-01,New South Wales,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$30.00,5
2023-05-01,New South Wales,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$62.00,3
2023-05-01,New South Wales,Social media/Online forums,Unspecified,Female,Attempts to gain your personal information,Phishing,$2201.00,4
2023-01-01,New South Wales,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Phishing,$1.00,4
2023-01-01,New South Wales,Social media/Online forums,55 - 64,Female,Attempts to gain your personal information,Phishing,$3000.00,4
2023-02-01,New South Wales,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Phishing,$800.00,4
2023-05-01,New South Wales,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Phishing,$1020.00,3
2023-05-01,New South Wales,Social media/Online forums,55 - 64,Female,Attempts to gain your personal information,Phishing,$10000.00,2
2023-01-01,New South Wales,Social media/Online forums,18 - 24,Male,Attempts to gain your personal information,Phishing,$720.00,2
2023-02-01,New South Wales,Social media/Online forums,18 - 24,Male,Attempts to gain your personal information,Phishing,$750.00,2
2023-02-01,New South Wales,Social media/Online forums,35 - 44,Male,Attempts to gain your personal information,Phishing,$400.00,3
2023-02-01,New South Wales,Social media/Online forums,25 - 34,Male,Attempts to gain your personal information,Phishing,$140.00,2
2023-03-01,New South Wales,Social media/Online forums,45 - 54,Male,Attempts to gain your personal information,Phishing,$5000.00,2
2023-04-01,New South Wales,Social media/Online forums,18 - 24,Male,Attempts to gain your personal information,Phishing,$300.00,2
2023-03-01,New South Wales,Mail,Unspecified,Female,Attempts to gain your personal information,Phishing,$60.00,2
2023-05-01,Victoria,unspecified,65 and over,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Phishing,$85.00,3
2023-02-01,Victoria,Social media/Online forums,35 - 44,Male,Attempts to gain your personal information,Phishing,$950.00,3
2023-03-01,Victoria,Social media/Online forums,25 - 34,Male,Attempts to gain your personal information,Phishing,$400.00,5
2023-03-01,Victoria,Social media/Online forums,35 - 44,Male,Attempts to gain your personal information,Phishing,$37500.00,5
2023-01-01,Victoria,Social media/Online forums,55 - 64,Female,Attempts to gain your personal information,Phishing,$4105.00,2
2023-02-01,Victoria,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Phishing,$800.00,4
2023-02-01,Victoria,Social media/Online forums,Unspecified,Female,Attempts to gain your personal information,Phishing,$500.00,3
2023-04-01,Victoria,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Phishing,$700.00,3
2023-05-01,Victoria,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Phishing,$105.00,4
2023-02-01,Victoria,Internet,55 - 64,Female,Attempts to gain your personal information,Phishing,$240.00,2
2023-04-01,Victoria,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$124.00,2
2023-05-01,Victoria,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$1.00,4
2023-01-01,Victoria,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$217.00,3
2023-02-01,Victoria,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$175000.00,2
2023-02-01,Victoria,Internet,25 - 34,Male,Attempts to gain your personal information,Phishing,$900.00,2
2023-02-01,Victoria,Internet,45 - 54,Male,Attempts to gain your personal information,Phishing,$700.00,2
2023-02-01,Victoria,Internet,18 - 24,Male,Attempts to gain your personal information,Phishing,$144.00,2
2023-03-01,Victoria,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$147.00,2
2023-04-01,Victoria,Internet,25 - 34,Male,Attempts to gain your personal information,Phishing,$2760.00,3
2023-05-01,Victoria,Internet,25 - 34,Male,Attempts to gain your personal information,Phishing,$200000.00,4
2023-05-01,Victoria,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$1299.00,5
2023-05-01,Victoria,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$1151.00,3
2023-01-01,Victoria,Internet,Unspecified,Male,Attempts to gain your personal information,Phishing,$11.00,3
2023-03-01,Victoria,Internet,Unspecified,Male,Attempts to gain your personal information,Phishing,$400.00,4
2023-01-01,Victoria,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Phishing,$161.00,3
2023-03-01,Victoria,Mobile apps,18 - 24,Male,Attempts to gain your personal information,Phishing,$3000.00,2
2023-03-01,Victoria,Mobile apps,55 - 64,Male,Attempts to gain your personal information,Phishing,$1463.00,5
2023-05-01,Victoria,Mobile apps,25 - 34,Male,Attempts to gain your personal information,Phishing,$46415.00,5
2023-01-01,Victoria,Mobile apps,55 - 64,Female,Attempts to gain your personal information,Phishing,$9900.00,3
2023-05-01,Victoria,Mobile apps,45 - 54,Female,Attempts to gain your personal information,Phishing,$2000.00,4
2023-05-01,Victoria,Mobile apps,55 - 64,Female,Attempts to gain your personal information,Phishing,$3840.00,4
2023-01-01,Victoria,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$25340.00,6
2023-02-01,Victoria,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$13159.00,4
2023-03-01,Victoria,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$1480.00,4
2023-02-01,Queensland,Internet,55 - 64,Female,Attempts to gain your personal information,Phishing,$3000.00,4
2023-02-01,Queensland,Internet,45 - 54,Male,Attempts to gain your personal information,Phishing,$1350.00,2
2023-03-01,Queensland,Internet,45 - 54,Female,Attempts to gain your personal information,Phishing,$45.00,2
2023-03-01,Queensland,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$80.00,2
2023-04-01,Queensland,Internet,45 - 54,Female,Attempts to gain your personal information,Phishing,$20557.00,3
2023-04-01,Queensland,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$430.00,3
2023-03-01,Queensland,Mobile apps,18 - 24,Male,Attempts to gain your personal information,Phishing,$600.00,2
2023-03-01,Queensland,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$5552.00,6
2023-05-01,Queensland,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$2500.00,2
2023-01-01,Queensland,Mobile apps,55 - 64,Female,Attempts to gain your personal information,Phishing,$4565.00,6
2023-02-01,Queensland,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$12297.00,2
2023-02-01,Queensland,Mobile apps,55 - 64,Female,Attempts to gain your personal information,Phishing,$2250.00,2
2023-02-01,Queensland,Mobile apps,25 - 34,Female,Attempts to gain your personal information,Phishing,$108.00,2
2023-04-01,Queensland,Mobile apps,55 - 64,Female,Attempts to gain your personal information,Phishing,$1300.00,2
2023-02-01,Queensland,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Phishing,$400.00,2
2023-03-01,Queensland,Social media/Online forums,55 - 64,Female,Attempts to gain your personal information,Phishing,$3700.00,3
2023-03-01,Queensland,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Phishing,$40.00,2
2023-03-01,Queensland,Social media/Online forums,18 - 24,Female,Attempts to gain your personal information,Phishing,$950.00,3
2023-04-01,Queensland,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Phishing,$580.00,2
2023-05-01,Queensland,Social media/Online forums,45 - 54,Female,Attempts to gain your personal information,Phishing,$14980.00,2
