StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2025-01-01,Victoria,Email,65 and over,Male,Buying or selling,False billing,$69.00,41
2025-02-01,Victoria,Email,65 and over,Male,Buying or selling,False billing,$0.00,29
2025-03-01,Victoria,Email,65 and over,Male,Buying or selling,False billing,$2643.00,39
2025-04-01,Victoria,Email,65 and over,Male,Buying or selling,False billing,$20000.00,30
2025-05-01,Victoria,Email,65 and over,Male,Buying or selling,False billing,$86416.00,28
2025-01-01,New South Wales,Email,65 and over,Male,Buying or selling,False billing,$21489.31,65
2025-02-01,New South Wales,Email,65 and over,Male,Buying or selling,False billing,$24.95,48
2025-03-01,New South Wales,Email,65 and over,Male,Buying or selling,False billing,$1115.55,40
2025-04-01,New South Wales,Email,65 and over,Male,Buying or selling,False billing,$167418.95,49
2025-05-01,New South Wales,Email,65 and over,Male,Buying or selling,False billing,$6483.01,42
2025-01-01,Queensland,Email,65 and over,Male,Buying or selling,False billing,$2000.00,39
2025-02-01,Queensland,Email,65 and over,Male,Buying or selling,False billing,$4238.35,28
2025-03-01,Queensland,Email,65 and over,Male,Buying or selling,False billing,$129.00,39
2025-04-01,Queensland,Email,65 and over,Male,Buying or selling,False billing,$150236.72,44
2025-05-01,Queensland,Email,65 and over,Male,Buying or selling,False billing,$0.00,31
2025-01-01,Western Australia,Email,65 and over,Male,Buying or selling,False billing,$2000.00,15
2025-02-01,Western Australia,Email,65 and over,Male,Buying or selling,False billing,$21000.00,12
2025-03-01,Western Australia,Email,65 and over,Male,Buying or selling,False billing,$0.00,16
2025-04-01,Western Australia,Email,65 and over,Male,Buying or selling,False billing,$99.99,9
2025-05-01,Western Australia,Email,65 and over,Male,Buying or selling,False billing,$0.00,3
2025-01-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$129.00,10
2025-02-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$0.00,9
2025-03-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$0.00,9
2025-04-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$0.00,8
2025-05-01,South Australia,Email,65 and over,Male,Buying or selling,False billing,$0.00,8
2025-01-01,Tasmania,Email,65 and over,Male,Buying or selling,False billing,$11313.69,8
2025-01-01,Australian Capital Territory,Email,65 and over,Male,Buying or selling,False billing,$412.76,8
2025-02-01,Tasmania,Email,65 and over,Male,Buying or selling,False billing,$0.00,3
2025-02-01,Australian Capital Territory,Email,65 and over,Male,Buying or selling,False billing,$0.00,6
2025-03-01,Tasmania,Email,65 and over,Male,Buying or selling,False billing,$0.00,6
2025-03-01,Northern Territory,Email,65 and over,Male,Buying or selling,False billing,$0.00,1
2025-03-01,Australian Capital Territory,Email,65 and over,Male,Buying or selling,False billing,$0.00,3
2025-04-01,Tasmania,Email,65 and over,Male,Buying or selling,False billing,$0.00,7
2025-04-01,Australian Capital Territory,Email,65 and over,Male,Buying or selling,False billing,$0.00,4
2025-05-01,Outside of Australia,Email,65 and over,Male,Buying or selling,False billing,$0.00,1
2025-05-01,Australian Capital Territory,Email,65 and over,Male,Buying or selling,False billing,$0.00,5
2025-05-01,Tasmania,Email,65 and over,Male,Buying or selling,False billing,$0.00,1
2025-05-01,Northern Territory,Email,65 and over,Male,Buying or selling,False billing,$0.00,1
2025-01-01,Northern Territory,Email,65 and over,Female,Buying or selling,False billing,$0.00,4
2025-01-01,Australian Capital Territory,Email,65 and over,Female,Buying or selling,False billing,$0.00,5
2025-01-01,Tasmania,Email,65 and over,Female,Buying or selling,False billing,$500.00,3
2025-02-01,Australian Capital Territory,Email,65 and over,Female,Buying or selling,False billing,$0.00,1
2025-02-01,Tasmania,Email,65 and over,Female,Buying or selling,False billing,$1550.00,3
2025-03-01,Tasmania,Email,65 and over,Female,Buying or selling,False billing,$0.00,4
2025-03-01,Australian Capital Territory,Email,65 and over,Female,Buying or selling,False billing,$0.00,3
2025-04-01,Australian Capital Territory,Email,65 and over,Female,Buying or selling,False billing,$0.00,2
2025-04-01,Tasmania,Email,65 and over,Female,Buying or selling,False billing,$0.00,3
2025-05-01,Australian Capital Territory,Email,65 and over,Female,Buying or selling,False billing,$0.00,2
2025-05-01,Tasmania,Email,65 and over,Female,Buying or selling,False billing,$0.00,2
2025-05-01,Northern Territory,Email,65 and over,Female,Buying or selling,False billing,$0.00,2
2025-05-01,Outside of Australia,Email,65 and over,Female,Buying or selling,False billing,$0.00,1
2025-01-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,$0.00,16
2025-02-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,$0.00,19
2025-03-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,$31050.00,14
2025-04-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,$0.00,12
2025-05-01,South Australia,Email,65 and over,Female,Buying or selling,False billing,$0.00,15
2025-01-01,Western Australia,Email,65 and over,Female,Buying or selling,False billing,$71.07,19
2025-02-01,Western Australia,Email,65 and over,Female,Buying or selling,False billing,$25.58,18
2025-03-01,Western Australia,Email,65 and over,Female,Buying or selling,False billing,$0.00,17
2025-04-01,Western Australia,Email,65 and over,Female,Buying or selling,False billing,$0.00,14
2025-05-01,Western Australia,Email,65 and over,Female,Buying or selling,False billing,$758.00,6
2025-01-01,Victoria,Email,65 and over,Female,Buying or selling,False billing,$0.00,19
2025-02-01,Victoria,Email,65 and over,Female,Buying or selling,False billing,$0.00,17
2025-03-01,Victoria,Email,65 and over,Female,Buying or selling,False billing,$0.00,24
2025-04-01,Victoria,Email,65 and over,Female,Buying or selling,False billing,$7980.00,18
2025-05-01,Victoria,Email,65 and over,Female,Buying or selling,False billing,$0.00,12
2025-01-01,Queensland,Email,65 and over,Female,Buying or selling,False billing,$129.00,27
2025-02-01,Queensland,Email,65 and over,Female,Buying or selling,False billing,$1517.90,23
